id;ordem;family_ver;subfamily;genera_ver;species_ver;author_ver;ref_ver;iucn_classification;body_weight_g;body_weight_g_sd;bill_rostrum_lenght_mm;bill_rostrum_lenght_mm_sd;tongue_lenght_mm;n_input;;;;;;;;;;;;;;;;;;
97;Passeriformes;Thraupidae;Coerebinae;Coereba;flaveola;(Linnaeus, 1758);Piacentin et al., 2015;lc;10.5;NA;12.22;0.78;NA;33;;;;;;;;;;;;;;;;;;
98;Passeriformes;Thraupidae;Dacninae;Cyanerpes;cyaneus;(Linnaeus, 1766);Piacentin et al., 2015;lc;14.5;NA;19;NA;NA;3;;;;;;;;;;;;;;;;;;
99;Passeriformes;Thraupidae;Dacninae;Dacnis;cayana;(Linnaeus, 1766);Piacentin et al., 2015;lc;15;NA;NA;NA;NA;10;;;;;;;;;;;;;;;;;;
100;Passeriformes;Thraupidae;Dacninae;Dacnis;nigripis;Pelzeln, 1856;Piacentin et al., 2015;nt;13.25;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
101;Passeriformes;Cardinalidae;NA;Habia;rubica;(Vieillot, 1817);Piacentin et al., 2015;lc;32.7;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
102;Passeriformes;Thraupidae;Hemithraupinae;Hemithraupis;ruficapilla;(Vieillot, 1818);Piacentin et al., 2015;lc;13;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
103;Passeriformes;Thraupidae;Tachyphoninae;Lanio;cristatus;(Linnaeus, 1766);Piacentin et al., 2015;lc;19.8;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
104;Passeriformes;Thraupidae;Nemosiinae;Nemosia;pileata;(Boddaert, 1783);Piacentin et al., 2015;lc;17;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
105;Passeriformes;Thraupidae;NA;Orthogonys;chloricterus;(Vieillot, 1819);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
106;Passeriformes;Thraupidae;Tachyphoninae;Ramphocelus;bresilius;(Linnaeus, 1766);Piacentin et al., 2015;lc;NA;NA;15.88;0.59;NA;4;;;;;;;;;;;;;;;;;;
107;Passeriformes;Thraupidae;Thraupinae;Tangara;cayana;(Linnaeus, 1766);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
